date	nwpindex
201108	98.27660
201109	98.49310
201110	98.69038
201111	98.79250
201112	98.83296
201201	98.92999
201202	98.91675
201203	95.00000
201204	95.14955
201205	95.25765
201206	95.26095
201207	95.26741
201208	95.37318
201209	95.59377
201210	95.86829
201211	95.84249
201212	95.94849
201301	101.06705
201302	101.29282
201303	101.33318
201304	101.49484
201305	101.59169
201306	101.73953
201307	98.02023
201308	98.06407
201309	98.15418
201310	98.41013
201311	98.39687
201312	98.52397
201401	98.55569
201402	98.71156
201403	98.81065
201404	98.92677
201405	103.23608
201406	103.28836
201407	103.47027
201408	103.51951
201409	103.56007
201410	103.63937
201411	103.80058
201412	103.87763
201501	94.04555
201502	94.44440
201503	94.72128
201504	94.82910
201505	94.85214
201506	94.84911
201507	94.95412